"Title","Full Address","longitude","latitude","Recommending Level","Trend"
"Adolfo's Restaurant","4770 Liberty Ave
Bloomfield
Pittsburgh, PA 15224",-79.9478367,40.4607765,4,0.14
"Allegheny Sandwich Shoppe","822 Western Ave
North Side
Pittsburgh, PA 15233",-80.0150592,40.4523081,4,0.58
"Bruegger's Bagels","1801 East Carson Street
South Side
Pittsburgh, PA 15203",-79.9803087,40.4289338,3.5,0.11
"Bruegger's Bagels","429 4th  Ave
Downtown
Pittsburgh, PA 15219",-79.9983547,40.4385156,3.5,0.11
"Cafe Moulin","732 Filbert Street
Shadyside
Pittsburgh, PA 15232",-79.9331853806125,40.4516222360555,4,1.61
"Cherries Diner","212 Forbes Ave
Downtown
Pittsburgh, PA 15222",-80.0020133,40.4404532,3.5,3.51
"Drew's Family Restaurant","2060 Ardmore Blvd
Pittsburgh, PA 15221",-79.8513937632293,40.42045596235,4,1.96
"Gary's Restaurant","2605 Brownsville Rd
Carrick
Pittsburgh, PA 15227",-79.9784562,40.3856117,4.5,0.05
"Lindos Restaurant","947 Western Ave
North Side
Pittsburgh, PA 15233",-80.018326,40.4514882,4,1.39
"P&G's Pamela's Diner","5527 Walnut St
Shadyside
Pittsburgh, PA 15232",-79.9328698390366,40.4515828357537,4,0.28
"P&G's Pamela's Diner","60 21 St
Strip District
Pittsburgh, PA 15222",-79.9836571,40.4519715,4.5,0.28
"P&G's Pamela's Diner","3703 Forbes Ave
Oakland
Pittsburgh, PA 15213",-79.9576968,40.4413583,3.5,0.28
"Pamela's","232 North Ave
Millvale
Pittsburgh, PA 15209",-79.9742164,40.4813809,4,0.21
"Pamela's Upstreet Diner","1711 Murray Ave
Squirrel Hill
Pittsburgh, PA 15217",-79.9227079,40.4376131,4,1.33
"Parker's PGH","2911 Glenmore Ave
Dormont
Pittsburgh, PA 15216",-80.0350933,40.3955488,4.5,0.07
"Square Cafe","1137 S Braddock Ave
Pittsburgh, PA 15218",-79.893269196457,40.432113757304,4,0.79
"Stagioni","2104 E Carson St
South Side
Pittsburgh, PA 15203",-79.9760041,40.4282783,4,0.92
"The Commoner Corner","458 Strawberry Way
Downtown
Pittsburgh, PA 15219",-79.9964699,40.4418087,4,0.04
"The Inn on Negley","703 S Negley Ave
Shadyside
Pittsburgh, PA 15232",-79.931454,40.453359,4.5,1.23
"Trolley Barn Eatery","3360 Library Rd
Ste 4
Pittsburgh, PA 15234",-80.0128138,40.3681996,4,0.11
